                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS    MDS   GAP  RMS  ERH  ERZ  MAG
2020-01-01T05:04:59.400000Z 51.947 36.158 13.2    8    8    8  92.72  25.30 194.0  0.8  8.7  6.5  4.0
2020-01-01T05:06:39.500000Z 52.120 35.415 11.7    5    5    5 131.32  93.60 260.0  0.5  9.1 10.2  2.5
2020-01-01T05:08:20.600000Z 52.143 36.062 11.0    7    7    7  95.33  54.50 203.0  0.8  8.5  8.6  3.5
2020-01-01T05:09:58.100000Z 51.989 35.807  7.6    5    5    5  90.54  26.30 256.0  1.4 19.2 14.4  2.5
2020-01-01T05:11:39.500000Z 52.223 35.896 11.7    7    7    7  80.40  23.30 255.0  0.8 11.5  7.6  3.5
2020-01-01T05:13:19.400000Z 52.415 36.114 19.4    7    7    7  82.07  35.10 171.0  0.7  7.3  7.7  3.5
2020-01-01T05:14:59.600000Z 52.477 35.805 13.8   10   10   10  96.44  47.60 225.0  0.8  8.2  5.4  5.0
2020-01-01T05:16:40.800000Z 51.575 36.216 20.0    8    8    8 104.94  33.50 194.0  0.6  6.9  6.3  4.0
2020-01-01T05:18:21.700000Z 52.149 36.033 20.9    5    5    5  99.76  76.10 206.0  1.3 19.8 42.1  2.5
2020-01-01T05:20:00.000000Z 51.626 35.921 12.9    9    9    9 112.96  39.20 237.0  0.9 11.7  6.4  4.5
2020-01-01T05:21:39.200000Z 52.170 35.948  3.4    7    7    7  93.30  15.90 215.0  0.5  5.8  4.5  3.5
2020-01-01T05:23:19.300000Z 51.933 35.951 20.1    9    9    9  85.27  13.60 230.0  1.0 12.8  6.5  4.5
2020-01-01T05:24:59.700000Z 51.763 35.880 10.4    9    9    9 106.72  30.40 234.0  0.7  8.4  5.8  4.5
2020-01-01T05:26:40.700000Z 51.666 36.374 18.1    9    9    9  82.99  41.70 129.0  0.7  6.5 12.9  4.5
2020-01-01T05:28:18.300000Z 51.873 36.095  0.1   10   10   10  88.27  15.80 178.0  1.1  9.1 10.6  5.0
2020-01-01T05:30:00.400000Z 51.759 36.193 21.5    9    9    9  97.21  40.30 193.0  1.0 10.6  8.8  4.5
