                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T02:46:40.000000Z 52.174 36.251 13.0    8    8    8   2.43 181.0  0.3   3.3   3.0  4.0
2020-01-01T02:48:20.000000Z 51.915 36.190  6.5    6    6    6  19.70 133.0  0.4   5.9  10.1  3.0
2020-01-01T02:50:00.200000Z 51.882 36.445 20.3    9    9    9  34.40 119.0  0.4   3.7   4.1  4.5
2020-01-01T02:51:39.600000Z 51.671 35.565 15.3    6    6    6  90.30 263.0  0.2  10.9   9.6  3.0
2020-01-01T02:53:19.400000Z 51.617 35.791  5.4    9   10   10  46.80 250.0  0.4   4.7   3.6  5.0
2020-01-01T02:54:59.600000Z 51.738 36.447 11.9    4    5    5  46.60 192.0  0.4   7.0   5.2  2.5
2020-01-01T02:56:40.900000Z 51.964 35.728 14.2    7    9    9  35.30 240.0  0.3   5.8   2.6  4.5
2020-01-01T02:58:19.600000Z 52.246 35.846  9.3    9   10   10  28.80 224.0  0.3   4.2   2.9  5.0
2020-01-01T03:00:00.200000Z 51.726 36.203  8.4    6    6    6  33.20 159.0  0.3   5.9   4.3  3.0
2020-01-01T03:01:39.900000Z 52.147 35.911  9.6    6    6    6  38.70 293.0  0.4   6.7   6.8  3.0
2020-01-01T03:03:19.600000Z 52.315 36.021 13.3    6    7    7  25.30 193.0  0.3   4.3   2.9  3.5
2020-01-01T03:05:00.100000Z 52.350 36.115 17.0    8    8    8  20.60 195.0  0.4   5.4   3.4  4.0
2020-01-01T03:06:39.600000Z 52.345 35.988  9.9    5    6    6  28.50 202.0  0.4  12.2  22.8  3.0
2020-01-01T03:08:20.000000Z 51.734 36.555  5.4    8    8    8  34.80 181.0  0.4   3.7   2.4  4.0
2020-01-01T03:10:00.400000Z 51.900 35.978  7.6    5    5    5  14.00 227.0  0.4  15.0   5.5  2.5
2020-01-01T03:11:39.600000Z 51.821 35.945  9.0    6    6    6  22.10 288.0  0.5   9.2   3.8  3.0
2020-01-01T03:13:19.800000Z 52.096 36.051  9.2    6    7    7  57.20 205.0  0.1   6.9   5.0  3.5
2020-01-01T03:14:59.800000Z 52.146 36.387 16.5    9   10   10  15.30  86.0  0.3   2.5   1.6  5.0
2020-01-01T03:16:39.200000Z 51.988 35.693 15.9    5    6    6  38.80 267.0  0.4   7.9   4.2  3.0
2020-01-01T03:18:20.000000Z 51.734 35.859 16.3    9   10   10  33.80 237.0  0.4   5.7   2.5  5.0
2020-01-01T03:19:59.900000Z 51.621 36.173 19.9    7    7    7  38.80 178.0  0.3   3.0   4.1  3.5
2020-01-01T03:21:39.200000Z 51.860 35.911  7.6    8    9    9  21.40 226.0  0.3   5.5   2.2  4.5
2020-01-01T03:23:19.900000Z 51.992 35.704 13.3    4    5    5  95.50 266.0  0.3  43.2  59.2  2.5
2020-01-01T03:25:00.000000Z 51.816 36.135 14.4    8    9    9  22.30 200.0  0.4   6.2   2.7  4.5
2020-01-01T03:26:39.500000Z 52.159 35.888  2.1    4    5    5  76.90 238.0  0.4  11.0  12.5  2.5
2020-01-01T03:28:20.100000Z 52.419 35.703  6.5    7    7    7  51.10 264.0  0.4   5.3   3.0  3.5
2020-01-01T03:29:58.800000Z 51.929 35.901  2.8    5    6    6  18.20 251.0  0.2   4.6   2.6  3.0
2020-01-01T03:31:39.700000Z 51.322 36.435 24.0    8    9    9  18.90 196.0  0.3  13.5   9.5  4.5
2020-01-01T03:33:21.100000Z 52.079 35.809 13.4    5    5    5  26.10 247.0  0.3   7.8   5.6  2.5
2020-01-01T03:34:59.700000Z 52.456 36.108 10.0    5    6    6  42.30 247.0  0.3   6.1   7.7  3.0
2020-01-01T03:36:40.000000Z 52.085 35.866 15.0    9    9    9  19.90 224.0  0.3   4.9   2.8  4.5
2020-01-01T03:38:20.100000Z 52.022 35.670 10.0    9    9    9  41.20 244.0  0.4   6.6   2.8  4.5
2020-01-01T03:40:00.500000Z 52.176 35.938  9.6    6    7    7  66.70 216.0  0.1   3.0   3.7  3.5
2020-01-01T03:41:40.500000Z 52.044 36.249 11.4    8    8    8  14.10  92.0  0.3   3.4   6.0  4.0
2020-01-01T03:43:19.700000Z 52.060 36.045 10.0    6    8    8   2.27 206.0  0.4   5.5   3.4  4.0
2020-01-01T03:45:00.200000Z 52.069 35.835  9.3    7    8    8  48.20 228.0  0.4   5.2   7.7  4.0
2020-01-01T03:46:39.900000Z 52.179 36.349  9.5    8   10   10  10.50 177.0  0.3   3.0   1.8  5.0
2020-01-01T03:48:20.000000Z 52.173 36.194 15.0    9    9    9   7.37 126.0  0.4   3.2   2.1  4.5
2020-01-01T03:49:59.800000Z 51.798 35.796 12.0    4    5    5  75.90 240.0  0.4 106.3  81.8  2.5
2020-01-01T03:51:39.000000Z 51.684 36.290  0.0    6    6    6  42.00 139.0  0.3   2.7   9.5  3.0
2020-01-01T03:53:19.200000Z 51.919 36.271 16.3    4    5    5  25.30 209.0  0.3  11.2   8.9  2.5
2020-01-01T03:55:00.300000Z 51.849 35.915  3.9    4    5    5  49.40 320.0  0.4  26.8  11.5  2.5
2020-01-01T03:56:40.000000Z 52.016 36.206 11.3    9    9    9  17.40 103.0  0.5   6.2   3.5  4.5
2020-01-01T03:58:20.100000Z 52.024 36.072  8.6    8    9    9   3.61 125.0  0.3   4.1   3.0  4.5
